Date,NewCases,"Osoby z wynikiem neg. przy ponownym tescie, osoby zdublowane, osoby błędnie zaraportowane",Przyrost % nowych przypadków (od sumy potwerdzonych przypadków),Zmiana tygodniowa nowo wykrywanych przypadków w %,Przyrost % nowych przypadków (od aktywnych przypadków),Zmiana % liczby aktywnych przypadków (od aktywnych przypadków),Nowe zgony,Nowe wyzdrowienia,Zmiana liczby nieaktywnych przypadków,Zmiana liczby aktywnych przypadków,ActiveCases,Suma zgonów,Suma wyzdrowień,Liczba nieaktywnych przypadków,Liczba aktywnych przypadków,,% zgonów w przypadkach nieaktywnych,% wyzdrowień w przypadkach nieaktywnych,,% zgonów,% wyzdrowień,% nieaktywnych przypadków,% aktywnych przypadków
22.04,313,0,"3,20%","-17,63%","3,87%","0,89%",25,216,241,72,10106,425,1513,1938,8168,,"21,93%","78,07%",,"4,21%","14,97%","19,18%","80,82%"
23.04,342,0,"3,38%","1,79%","4,19%","1,07%",28,227,255,87,10448,453,1740,2193,8255,,"20,66%","79,34%",,"4,34%","16,65%","20,99%","79,01%"
24.04,381,0,"3,65%","-16,63%","4,62%","1,66%",40,204,244,137,10829,493,1944,2437,8392,,"20,23%","79,77%",,"4,55%","17,95%","22,50%","77,50%"
25.04,381,0,"3,52%","14,07%","4,54%","2,01%",30,182,212,169,11210,523,2126,2649,8561,,"19,74%","80,26%",,"4,67%","18,97%","23,63%","76,37%"
26.04,344,0,"3,07%","-33,20%","4,02%","2,25%",12,139,151,193,11554,535,2265,2800,8754,,"19,11%","80,89%",,"4,63%","19,60%","24,23%","75,77%"
27.04,285,0,"2,47%","-6,86%","3,26%","0,66%",26,201,227,58,11839,561,2466,3027,8812,,"18,53%","81,47%",,"4,74%","20,83%","25,57%","74,43%"
28.04,316,0,"2,67%","20,15%","3,59%","1,06%",34,189,223,93,12155,595,2655,3250,8905,,"18,31%","81,69%",,"4,90%","21,84%","26,74%","73,26%"
29.04,422,0,"3,47%","34,82%","4,74%","0,27%",28,370,398,24,12577,623,3025,3648,8929,,"17,08%","82,92%",,"4,95%","24,05%","29,01%","70,99%"
30.04,300,0,"2,39%","-12,28%","3,36%","0,77%",20,211,231,69,12877,643,3236,3879,8998,,"16,58%","83,42%",,"4,99%","25,13%","30,12%","69,88%"
01.05,228,0,"1,77%","-40,16%","2,53%","-0,38%",7,255,262,-34,13105,650,3491,4141,8964,,"15,70%","84,30%",,"4,96%","26,64%","31,60%","68,40%"
02.05,270,0,"2,06%","-29,13%","3,01%","-0,15%",12,271,283,-13,13375,662,3762,4424,8951,,"14,96%","85,04%",,"4,95%","28,13%","33,08%","66,92%"
03.05,318,0,"2,38%","-7,56%","3,55%","1,34%",15,183,198,120,13693,677,3945,4622,9071,,"14,65%","85,35%",,"4,94%","28,81%","33,75%","66,25%"
04.05,313,0,"2,29%","9,82%","3,45%","1,59%",19,150,169,144,14006,696,4095,4791,9215,,"14,53%","85,47%",,"4,97%","29,24%","34,21%","65,79%"
05.05,406,-19,"2,90%","28,48%","4,41%","2,19%",19,185,204,202,14412,715,4280,4995,9417,,"14,31%","85,69%",,"4,96%","29,70%","34,66%","65,34%"
06.05,311,0,"2,16%","-26,30%","3,30%","-0,87%",18,375,393,-82,14723,733,4655,5388,9335,,"13,60%","86,40%",,"4,98%","31,62%","36,60%","63,40%"
07.05,303,-21,"2,06%","1,00%","3,25%","0,79%",22,207,229,74,15026,755,4862,5617,9409,,"13,44%","86,56%",,"5,02%","32,36%","37,38%","62,62%"
08.05,337,-3,"2,24%","47,81%","3,58%","-0,05%",20,322,342,-5,15363,775,5184,5959,9404,,"13,01%","86,99%",,"5,04%","33,74%","38,79%","61,21%"
09.05,288,0,"1,87%","6,67%","3,06%","0,28%",9,253,262,26,15651,784,5437,6221,9430,,"12,60%","87,40%",,"5,01%","34,74%","39,75%","60,25%"
10.05,345,0,"2,20%","8,49%","3,66%","0,73%",15,261,276,69,15996,799,5698,6497,9499,,"12,30%","87,70%",,"4,99%","35,62%","40,62%","59,38%"
11.05,330,0,"2,06%","5,43%","3,47%","2,12%",11,118,129,201,16326,810,5816,6626,9700,,"12,22%","87,78%",,"4,96%","35,62%","40,59%","59,41%"
12.05,556,-39,"3,41%","36,95%","5,73%","2,20%",28,315,343,213,16882,838,6131,6969,9913,,"12,02%","87,98%",,"4,96%","36,32%","41,28%","58,72%"
13.05,322,0,"1,91%","3,54%","3,25%","0,20%",23,279,302,20,17204,861,6410,7271,9933,,"11,84%","88,16%",,"5,00%","37,26%","42,26%","57,74%"
14.05,411,0,"2,39%","35,64%","4,14%","1,04%",22,286,308,103,17615,883,6696,7579,10036,,"11,65%","88,35%",,"5,01%","38,01%","43,03%","56,97%"
15.05,401,0,"2,28%","18,99%","4,00%","1,54%",24,222,246,155,18016,907,6918,7825,10191,,"11,59%","88,41%",,"5,03%","38,40%","43,43%","56,57%"
16.05,241,0,"1,34%","-16,32%","2,36%","-0,24%",8,257,265,-24,18257,915,7175,8090,10167,,"11,31%","88,69%",,"5,01%","39,30%","44,31%","55,69%"
17.05,272,0,"1,49%","-21,16%","2,68%","-0,14%",10,276,286,-14,18529,925,7451,8376,10153,,"11,04%","88,96%",,"4,99%","40,21%","45,20%","54,80%"
18.05,356,0,"1,92%","7,88%","3,51%","1,65%",11,177,188,168,18885,936,7628,8564,10321,,"10,93%","89,07%",,"4,96%","40,39%","45,35%","54,65%"
19.05,382,-1,"2,02%","-31,29%","3,70%","0,92%",12,275,287,95,19267,948,7903,8851,10416,,"10,71%","89,29%",,"4,92%","41,02%","45,94%","54,06%"
20.05,471,0,"2,44%","46,27%","4,52%","1,70%",14,280,294,177,19738,962,8183,9145,10593,,"10,52%","89,48%",,"4,87%","41,46%","46,33%","53,67%"
21.05,403,-2,"2,04%","-1,95%","3,80%","1,17%",10,269,279,124,20141,972,8452,9424,10717,,"10,31%","89,69%",,"4,83%","41,96%","46,79%","53,21%"
22.05,471,-5,"2,34%","17,46%","4,39%","1,70%",10,279,289,182,20612,982,8731,9713,10899,,"10,11%","89,89%",,"4,76%","42,36%","47,12%","52,88%"
23.05,315,-1,"1,53%","30,71%","2,89%","0,53%",11,246,257,58,20927,993,8977,9970,10957,,"9,96%","90,04%",,"4,75%","42,90%","47,64%","52,36%"
24.05,361,-34,"1,73%","32,72%","3,29%","1,29%",3,217,220,141,21288,996,9194,10190,11098,,"9,77%","90,23%",,"4,68%","43,19%","47,87%","52,13%"
25.05,341,0,"1,60%","-4,21%","3,07%","2,23%",11,82,93,248,21629,1007,9276,10283,11346,,"9,79%","90,21%",,"4,66%","42,89%","47,54%","52,46%"
26.05,443,-2,"2,05%","15,97%","3,90%","-2,80%",17,744,761,-318,22072,1024,10020,11044,11028,,"9,27%","90,73%",,"4,64%","45,40%","50,04%","49,96%"
27.05,397,-2,"1,80%","-15,71%","3,60%","0,75%",4,310,314,83,22469,1028,10330,11358,11111,,"9,05%","90,95%",,"4,58%","45,97%","50,55%","49,45%"
28.05,352,0,"1,57%","-12,66%","3,17%","1,01%",10,230,240,112,22821,1038,10560,11598,11223,,"8,95%","91,05%",,"4,55%","46,27%","50,82%","49,18%"
29.05,332,-1,"1,45%","-29,51%","2,96%","1,67%",13,132,145,187,23153,1051,10692,11743,11410,,"8,95%","91,05%",,"4,54%","46,18%","50,72%","49,28%"
30.05,412,-4,"1,78%","30,79%","3,61%","0,68%",10,324,334,78,23565,1061,11016,12077,11488,,"8,79%","91,21%",,"4,50%","46,75%","51,25%","48,75%"
31.05,219,0,"0,93%","-39,34%","1,91%","-0,34%",3,255,258,-39,23784,1064,11271,12335,11449,,"8,63%","91,37%",,"4,47%","47,39%","51,86%","48,14%"
01.06,375,-5,"1,58%","9,97%","3,28%","1,63%",10,178,188,187,24159,1074,11449,12523,11636,,"8,58%","91,42%",,"4,45%","47,39%","51,84%","48,16%"
02.06,236,0,"0,98%","-46,73%","2,03%","-0,51%",18,277,295,-59,24395,1092,11726,12818,11577,,"8,52%","91,48%",,"4,48%","48,07%","52,54%","47,46%"
03.06,292,0,"1,20%","-26,45%","2,52%","-0,16%",23,288,311,-19,24687,1115,12014,13129,11558,,"8,49%","91,51%",,"4,52%","48,67%","53,18%","46,82%"
04.06,361,0,"1,46%","2,56%","3,12%","1,26%",2,213,215,146,25048,1117,12227,13344,11704,,"8,37%","91,63%",,"4,46%","48,81%","53,27%","46,73%"
05.06,362,0,"1,45%","9,04%","3,09%","1,36%",20,183,203,159,25410,1137,12410,13547,11863,,"8,39%","91,61%",,"4,47%","48,84%","53,31%","46,69%"
06.06,576,0,"2,27%","39,81%","4,86%","2,79%",14,231,245,331,25986,1151,12641,13792,12194,,"8,35%","91,65%",,"4,43%","48,65%","53,07%","46,93%"
07.06,575,0,"2,21%","162,56%","4,72%","2,93%",4,214,218,357,26561,1155,12855,14010,12551,,"8,24%","91,76%",,"4,35%","48,40%","52,75%","47,25%"
08.06,599,0,"2,26%","59,73%","4,77%","3,56%",9,143,152,447,27160,1164,12998,14162,12998,,"8,22%","91,78%",,"4,29%","47,86%","52,14%","47,86%"
09.06,400,0,"1,47%","69,49%","3,08%","1,41%",19,198,217,183,27560,1183,13196,14379,13181,,"8,23%","91,77%",,"4,29%","47,88%","52,17%","47,83%"
10.06,282,0,"1,02%","-3,42%","2,14%","0,33%",23,215,238,44,27842,1206,13411,14617,13225,,"8,25%","91,75%",,"4,33%","48,17%","52,50%","47,50%"
11.06,359,0,"1,29%","-0,55%","2,71%","0,49%",9,285,294,65,28201,1215,13696,14911,13290,,"8,15%","91,85%",,"4,31%","48,57%","52,87%","47,13%"
12.06,376,0,"1,33%","3,87%","2,83%","1,96%",7,109,116,260,28577,1222,13805,15027,13550,,"8,13%","91,87%",,"4,28%","48,31%","52,58%","47,42%"
13.06,440,0,"1,54%","-23,61%","3,25%","0,93%",15,299,314,126,29017,1237,14104,15341,13676,,"8,06%","91,94%",,"4,26%","48,61%","52,87%","47,13%"
14.06,375,0,"1,29%","-34,78%","2,74%","1,78%",10,122,132,243,29392,1247,14226,15473,13919,,"8,06%","91,94%",,"4,24%","48,40%","52,64%","47,36%"
15.06,396,0,"1,35%","-33,89%","2,85%","1,65%",9,157,166,230,29788,1256,14383,15639,14149,,"8,03%","91,97%",,"4,22%","48,28%","52,50%","47,50%"
16.06,407,0,"1,37%","1,75%","2,88%","0,85%",16,271,287,120,30195,1272,14654,15926,14269,,"7,99%","92,01%",,"4,21%","48,53%","52,74%","47,26%"
17.06,450,-56,"1,49%","59,57%","3,15%","1,18%",14,267,281,169,30645,1286,14921,16207,14438,,"7,93%","92,07%",,"4,20%","48,69%","52,89%","47,11%"
18.06,314,0,"1,02%","-12,53%","2,17%","-0,78%",30,396,426,-112,30959,1316,15317,16633,14326,,"7,91%","92,09%",,"4,25%","49,48%","53,73%","46,27%"
19.06,352,0,"1,14%","-6,38%","2,46%","-0,33%",18,381,399,-47,31311,1334,15698,17032,14279,,"7,83%","92,17%",,"4,26%","50,14%","54,40%","45,60%"
20.06,309,0,"0,99%","-29,77%","2,16%","-1,30%",12,483,495,-186,31620,1346,16181,17527,14093,,"7,68%","92,32%",,"4,26%","51,17%","55,43%","44,57%"
21.06,311,0,"0,98%","-17,07%","2,21%","-1,43%",10,502,512,-201,31931,1356,16683,18039,13892,,"7,52%","92,48%",,"4,25%","52,25%","56,49%","43,51%"
22.06,296,0,"0,93%","-25,25%","2,13%","-0,72%",3,393,396,-100,32227,1359,17076,18435,13792,,"7,37%","92,63%",,"4,22%","52,99%","57,20%","42,80%"
23.06,300,0,"0,93%","-26,29%","2,18%","-1,54%",16,497,513,-213,32527,1375,17573,18948,13579,,"7,26%","92,74%",,"4,23%","54,03%","58,25%","41,75%"
24.06,294,0,"0,90%","-34,67%","2,17%","-2,12%",21,561,582,-288,32821,1396,18134,19530,13291,,"7,15%","92,85%",,"4,25%","55,25%","59,50%","40,50%"
25.06,289,-9,"0,88%","-7,96%","2,17%","-1,86%",16,520,536,-247,33110,1412,18654,20066,13044,,"7,04%","92,96%",,"4,26%","56,34%","60,60%","39,40%"
26.06,285,0,"0,86%","-19,03%","2,18%","-2,27%",17,564,581,-296,33395,1429,19218,20647,12748,,"6,92%","93,08%",,"4,28%","57,55%","61,83%","38,17%"
27.06,319,0,"0,96%","3,24%","2,50%","-3,46%",6,754,760,-441,33714,1435,19972,21407,12307,,"6,70%","93,30%",,"4,26%","59,24%","63,50%","36,50%"
28.06,193,0,"0,57%","-37,94%","1,57%","-3,14%",4,576,580,-387,33907,1439,20548,21987,11920,,"6,54%","93,46%",,"4,24%","60,60%","64,85%","35,15%"
29.06,247,0,"0,73%","-16,55%","2,07%","-0,91%",6,349,355,-108,34154,1445,20897,22342,11812,,"6,47%","93,53%",,"4,23%","61,18%","65,42%","34,58%"
30.06,239,0,"0,70%","-20,33%","2,02%","-1,39%",19,384,403,-164,34393,1464,21281,22745,11648,,"6,44%","93,56%",,"4,26%","61,88%","66,13%","33,87%"
01.07,382,0,"1,11%","29,93%","3,28%","-1,22%",14,510,524,-142,34775,1478,21791,23269,11506,,"6,35%","93,65%",,"4,25%","62,66%","66,91%","33,09%"
02.07,371,0,"1,07%","28,37%","3,22%","-0,54%",15,418,433,-62,35146,1493,22209,23702,11444,,"6,30%","93,70%",,"4,25%","63,19%","67,44%","32,56%"
03.07,259,0,"0,74%","-9,12%","2,26%","-1,72%",14,442,456,-197,35405,1507,22651,24158,11247,,"6,24%","93,76%",,"4,26%","63,98%","68,23%","31,77%"
04.07,314,0,"0,89%","-1,57%","2,79%","-1,48%",4,476,480,-166,35719,1511,23127,24638,11081,,"6,13%","93,87%",,"4,23%","64,75%","68,98%","31,02%"
05.07,231,0,"0,65%","19,69%","2,08%","-3,55%",5,619,624,-393,35950,1516,23746,25262,10688,,"6,00%","94,00%",,"4,22%","66,05%","70,27%","29,73%"
06.07,205,0,"0,57%","-17,00%","1,92%","-0,18%",4,220,224,-19,36155,1520,23966,25486,10669,,"5,96%","94,04%",,"4,20%","66,29%","70,49%","29,51%"
07.07,257,0,"0,71%","7,53%","2,41%","-0,21%",7,272,279,-22,36412,1527,24238,25765,10647,,"5,93%","94,07%",,"4,19%","66,57%","70,76%","29,24%"
08.07,277,0,"0,76%","-27,49%","2,60%","-3,55%",15,640,655,-378,36689,1542,24878,26420,10269,,"5,84%","94,16%",,"4,20%","67,81%","72,01%","27,99%"
09.07,262,0,"0,71%","-29,38%","2,55%","-3,37%",9,599,608,-346,36951,1551,25477,27028,9923,,"5,74%","94,26%",,"4,20%","68,95%","73,15%","26,85%"
10.07,265,0,"0,72%","2,32%","2,67%","-3,19%",11,571,582,-317,37216,1562,26048,27610,9606,,"5,66%","94,34%",,"4,20%","69,99%","74,19%","25,81%"
11.07,305,0,"0,82%","-2,87%","3,18%","-3,00%",6,587,593,-288,37521,1568,26635,28203,9318,,"5,56%","94,44%",,"4,18%","70,99%","75,17%","24,83%"
12.07,370,0,"0,99%","60,17%","3,97%","-1,57%",3,513,516,-146,37891,1571,27148,28719,9172,,"5,47%","94,53%",,"4,15%","71,65%","75,79%","24,21%"
13.07,299,0,"0,79%","45,85%","3,26%","-0,80%",5,367,372,-73,38190,1576,27515,29091,9099,,"5,42%","94,58%",,"4,13%","72,05%","76,17%","23,83%"
14.07,267,0,"0,70%","3,89%","2,93%","0,15%",12,241,253,14,38457,1588,27756,29344,9113,,"5,41%","94,59%",,"4,13%","72,17%","76,30%","23,70%"
15.07,264,0,"0,69%","-4,69%","2,90%","-5,25%",6,736,742,-478,38721,1594,28492,30086,8635,,"5,30%","94,70%",,"4,12%","73,58%","77,70%","22,30%"
16.07,333,0,"0,86%","27,10%","3,86%","-1,31%",10,436,446,-113,39054,1604,28928,30532,8522,,"5,25%","94,75%",,"4,11%","74,07%","78,18%","21,82%"
17.07,353,0,"0,90%","33,21%","4,14%","-2,71%",7,577,584,-231,39407,1611,29505,31116,8291,,"5,18%","94,82%",,"4,09%","74,87%","78,96%","21,04%"
18.07,339,0,"0,86%","11,15%","4,09%","-1,04%",6,419,425,-86,39746,1617,29924,31541,8205,,"5,13%","94,87%",,"4,07%","75,29%","79,36%","20,64%"
19.07,358,0,"0,90%","-3,24%","4,36%","-0,20%",6,368,374,-16,40104,1623,30292,31915,8189,,"5,09%","94,91%",,"4,05%","75,53%","79,58%","20,42%"
20.07,279,0,"0,70%","-6,69%","3,41%","0,34%",4,247,251,28,40383,1627,30539,32166,8217,,"5,06%","94,94%",,"4,03%","75,62%","79,65%","20,35%"
21.07,399,0,"0,99%","49,44%","4,86%","1,92%",9,232,241,158,40782,1636,30771,32407,8375,,"5,05%","94,95%",,"4,01%","75,45%","79,46%","20,54%"
22.07,380,0,"0,93%","43,94%","4,54%","0,07%",6,368,374,6,41162,1642,31139,32781,8381,,"5,01%","94,99%",,"3,99%","75,65%","79,64%","20,36%"
23.07,418,0,"1,02%","25,53%","4,99%","0,08%",9,402,411,7,41580,1651,31541,33192,8388,,"4,97%","95,03%",,"3,97%","75,86%","79,83%","20,17%"
24.07,458,0,"1,10%","29,75%","5,46%","-0,02%",4,456,460,-2,42038,1655,31997,33652,8386,,"4,92%","95,08%",,"3,94%","76,11%","80,05%","19,95%"
25.07,584,0,"1,39%","72,27%","6,96%","1,82%",9,422,431,153,42622,1664,32419,34083,8539,,"4,88%","95,12%",,"3,90%","76,06%","79,97%","20,03%"
26.07,443,0,"1,04%","23,74%","5,19%","1,19%",7,334,341,102,43065,1671,32753,34424,8641,,"4,85%","95,15%",,"3,88%","76,05%","79,93%","20,07%"
27.07,337,0,"0,78%","20,79%","3,90%","2,65%",5,103,108,229,43402,1676,32856,34532,8870,,"4,85%","95,15%",,"3,86%","75,70%","79,56%","20,44%"
28.07,502,0,"1,16%","25,81%","5,66%","3,48%",6,187,193,309,43904,1682,33043,34725,9179,,"4,84%","95,16%",,"3,83%","75,26%","79,09%","20,91%"
29.07,512,0,"1,17%","34,74%","5,58%","3,85%",12,147,159,353,44416,1694,33190,34884,9532,,"4,86%","95,14%",,"3,81%","74,73%","78,54%","21,46%"
30.07,615,0,"1,38%","47,13%","6,45%","1,54%",15,453,468,147,45031,1709,33643,35352,9679,,"4,83%","95,17%",,"3,80%","74,71%","78,51%","21,49%"
31.07,657,0,"1,46%","43,45%","6,79%","3,16%",7,344,351,306,45688,1716,33987,35703,9985,,"4,81%","95,19%",,"3,76%","74,39%","78,15%","21,85%"
01.08,658,0,"1,44%","12,67%","6,59%","2,66%",5,387,392,266,46346,1721,34374,36095,10251,,"4,77%","95,23%",,"3,71%","74,17%","77,88%","22,12%"
02.08,548,0,"1,18%","23,70%","5,35%","1,98%",10,335,345,203,46894,1731,34709,36440,10454,,"4,75%","95,25%",,"3,69%","74,02%","77,71%","22,29%"
03.08,575,0,"1,23%","70,62%","5,50%","3,85%",1,172,173,402,47469,1732,34881,36613,10856,,"4,73%","95,27%",,"3,65%","73,48%","77,13%","22,87%"
04.08,680,0,"1,43%","35,46%","6,26%","4,60%",6,175,181,499,48149,1738,35056,36794,11355,,"4,72%","95,28%",,"3,61%","72,81%","76,42%","23,58%"
05.08,640,0,"1,33%","25,00%","5,64%","3,14%",18,265,283,357,48789,1756,35321,37077,11712,,"4,74%","95,26%",,"3,60%","72,40%","75,99%","24,01%"
06.08,726,0,"1,49%","18,05%","6,20%","3,30%",18,321,339,387,49515,1774,35642,37416,12099,,"4,74%","95,26%",,"3,58%","71,98%","75,56%","24,44%"
07.08,809,0,"1,63%","23,14%","6,69%","3,28%",13,399,412,397,50324,1787,36041,37828,12496,,"4,72%","95,28%",,"3,55%","71,62%","75,17%","24,83%"
08.08,843,0,"1,68%","28,12%","6,75%","3,75%",13,362,375,468,51167,1800,36403,38203,12964,,"4,71%","95,29%",,"3,52%","71,15%","74,66%","25,34%"
09.08,624,0,"1,22%","13,87%","4,81%","2,54%",7,288,295,329,51791,1807,36691,38498,13293,,"4,69%","95,31%",,"3,49%","70,84%","74,33%","25,67%"
10.08,619,0,"1,20%","7,65%","4,66%","3,24%",2,186,188,431,52410,1809,36877,38686,13724,,"4,68%","95,32%",,"3,45%","70,36%","73,81%","26,19%"
11.08,551,0,"1,05%","-18,97%","4,01%","1,94%",12,273,285,266,52961,1821,37150,38971,13990,,"4,67%","95,33%",,"3,44%","70,15%","73,58%","26,42%"
12.08,715,0,"1,35%","11,72%","5,11%","1,75%",9,461,470,245,53676,1830,37611,39441,14235,,"4,64%","95,36%",,"3,41%","70,07%","73,48%","26,52%"
13.08,811,0,"1,51%","11,71%","5,70%","3,15%",13,350,363,448,54487,1843,37961,39804,14683,,"4,63%","95,37%",,"3,38%","69,67%","73,05%","26,95%"
14.08,832,0,"1,53%","2,84%","5,67%","2,83%",15,401,416,416,55319,1858,38362,40220,15099,,"4,62%","95,38%",,"3,36%","69,35%","72,71%","27,29%"
15.08,771,0,"1,39%","-8,54%","5,11%","1,78%",11,491,502,269,56090,1869,38853,40722,15368,,"4,59%","95,41%",,"3,33%","69,27%","72,60%","27,40%"
